/Users/gkai/project/keras-retinanet/data/train/0802_001_7.png,933,113,1089,166,title
/Users/gkai/project/keras-retinanet/data/train/0802_001_7.png,1422,199,1622,224,singleText
/Users/gkai/project/keras-retinanet/data/train/0802_001_7.png,400,255,1443,617,textBlock
/Users/gkai/project/keras-retinanet/data/train/0802_001_7.png,398,654,1624,1003,table
/Users/gkai/project/keras-retinanet/data/train/0802_001_7.png,1133,1075,1626,1266,table
/Users/gkai/project/keras-retinanet/data/train/0802_001_7.png,401,1297,1626,1517,otherTable
/Users/gkai/project/keras-retinanet/data/train/0802_001_7.png,403,1537,766,1620,textBlock
/Users/gkai/project/keras-retinanet/data/train/0802_001_7.png,1256,1534,1628,1731,textBlock
/Users/gkai/project/keras-retinanet/data/train/0802_001_7.png,1591,1762,1657,1829,stamp
/Users/gkai/project/keras-retinanet/data/train/0802_001_7.png,1490,1583,1634,1733,stamp
/Users/gkai/project/keras-retinanet/data/train/0802_001_7.png,460,1106,952,1170,textBlock
/Users/gkai/project/keras-retinanet/data/train/0802_001_7.png,458,1219,927,1270,singleText
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,532,119,676,169,title
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,463,251,839,320,textBlock
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,486,369,724,422,textBlock
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,463,453,1177,511,textBlock
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,1264,230,1540,288,textBlock
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,1187,324,1617,507,textBlock
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,1450,311,1592,459,stamp
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,1342,432,1452,536,stamp
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,417,13,860,75,textBlock
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,1058,17,1187,77,textBlock
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,1304,15,1462,69,textBlock
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,420,526,1694,1629,table
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,422,1665,1694,1777,table
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,426,1838,1127,1913,table
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,587,1773,1143,1819,textBlock
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,1162,1850,1504,1896,textBlock
/Users/gkai/project/keras-retinanet/data/train/0785_039_8.png,424,1917,995,1973,textBlock
/Users/gkai/project/keras-retinanet/data/train/1702CASE請求書_0.jpg,1114,88,1326,137,title
/Users/gkai/project/keras-retinanet/data/train/1702CASE請求書_0.jpg,1074,194,1338,233,singleText
/Users/gkai/project/keras-retinanet/data/train/1702CASE請求書_0.jpg,1465,161,1627,191,singleText
/Users/gkai/project/keras-retinanet/data/train/1702CASE請求書_0.jpg,1147,271,1542,305,singleText
/Users/gkai/project/keras-retinanet/data/train/1702CASE請求書_0.jpg,1056,390,1633,530,textBlock
/Users/gkai/project/keras-retinanet/data/train/1702CASE請求書_0.jpg,469,434,659,457,singleText
/Users/gkai/project/keras-retinanet/data/train/1702CASE請求書_0.jpg,469,501,978,531,singleText
/Users/gkai/project/keras-retinanet/data/train/1702CASE請求書_0.jpg,478,158,957,318,textBlock
/Users/gkai/project/keras-retinanet/data/train/1702CASE請求書_0.jpg,461,539,1663,668,table
/Users/gkai/project/keras-retinanet/data/train/1702CASE請求書_0.jpg,459,719,918,761,singleText
/Users/gkai/project/keras-retinanet/data/train/1702CASE請求書_0.jpg,448,790,1656,1955,table
/Users/gkai/project/keras-retinanet/data/train/1702CASE請求書_0.jpg,1524,224,1672,368,stamp
/Users/gkai/project/keras-retinanet/data/train/00185_Mizuho.png,968,247,1111,298,title
/Users/gkai/project/keras-retinanet/data/train/00185_Mizuho.png,463,318,1032,423,textBlock
